id_partido,nombre_local,resultado_local,nombre_visitante,resultado_visitante,parciales_local,parciales_visitante,fecha_partido,arbitro1,arbitro2,arbitro3,pista_partido,direccion_partido
2341471,HESTIA MENORCA,85,AMICS CASTELLÓ,65,"21,21,17,26","13,12,30,10",21/10/2023 - 19:30,"CHECA NEBOT, DANIEL","GARVIN DOMINGO, RODRIGO","MURILLO KHON, NICOLÁS",Pavelló Menorca,Mahón (Illes Balears)
2341472,CACERES PATRIMONIO DE LA HUMANIDAD,90,MELILLA CIUDAD DEL DEPORTE,76,"27,28,19,16","19,24,19,14",20/10/2023 - 20:45,"BAENA CRIADO, JORGE","MARTIN VAZQUEZ, CRISTIAN","ALEJO SANCHEZ , ANDREA",PABELLÓN MULTIUSOS CIUDAD DE CÁCERES,Cáceres (Cáceres)
2341473,LEYMA CORUÑA,119,GRUPO ALEGA CANTABRIA,90,"33,30,31,25","13,23,23,31",22/10/2023 - 18:00,"MAS CAGIDE, VICTOR","PALANCA PAGE, RODRIGO","CERVANTES FERNANDEZ, DANIEL",PALACIO DE LOS DEPORTES CORUÑA,"Coruña, A (A Coruña)"
2341474,ICG FORÇA LLEIDA,66,GRUPO URETA TIZONA BURGOS,86,"13,21,16,16","24,18,17,27",20/10/2023 - 21:00,"LEMA PARGA, PAULA","MORALES Gª-ALCAIDE, JUAN P.","MARTINEZ ESTOPIÑAN, FERNANDO",0-PAVELLO BARRIS NORD,Lleida (Lleida)
2341475,BALONCESTO FUENLABRADA,64,LONGEVIDA SAN PABLO BURGOS,72,"17,14,17,16","23,15,18,16",21/10/2023 - 18:00,"DE LUCAS DE LUCAS, ANGEL","HURTADO ALMANSA, JUAN RAMON","CAAMAÑO MUÑOZ, JORGE","3664-3664-FERNANDO MARTIN, PABELLON",Fuenlabrada (Madrid)
2341476,CLUB OURENSE BALONCESTO,68,RIOVERDE CLAVIJO,51,"14,14,13,27","15,17,16,3",21/10/2023 - 19:00,"AVILA ZURITA, JAVIER","IBAÑEZ GARCIA, FERNANDO","SANHERMELANDO GARCIA, HECTOR",PAZO DOS DEPORTES PACO PAZ,Ourense (Ourense)
2341477,ALIMERKA OVIEDO BALONCESTO,81,GUUK GIPUZKOA BASKET,86,"20,18,24,19","18,19,19,30",22/10/2023 - 12:00,"GARCIA LEON, CARLOS JAVIER","CHUECA MORENO, ARIADNA","VILLANUEVA TENA, JAVIER",POLIDEPORTIVO MUNICIPAL DE PUMARIN,Oviedo (Asturias)
2341478,REAL BETIS BALONCESTO,77,MOVISTAR ESTUDIANTES,86,"13,14,23,27","27,10,24,25",20/10/2023 - 20:00,"RIAL BARREIRO, JACOBO","LEZCANO, LEANDRO NICOLÁS","ARESTE GIRALT, EVA",PALACIO MUNICIPAL DE DEPORTES SAN PABLO,Sevilla (Sevilla)
2341479,GRUPO URETA TIZONA BURGOS,109,ALIMERKA OVIEDO BALONCESTO,93,"28,31,22,28","16,28,26,23",27/10/2023 - 20:45,"LIZANA MORENO, JOAQUIN","MUÑOZ GARCIA, JORGE","DOMINGO VILALTA, JORDI",POLIDEPORTIVO MUNICIPAL EL PLANTIO,Burgos (Burgos)
2341480,AMICS CASTELLÓ,81,LONGEVIDA SAN PABLO BURGOS,94,"23,16,26,16","25,22,31,16",27/10/2023 - 20:30,"CAÑIGUERAL NOVELLA, MIKEL","MARQUETA GRACIA, JOSE JAVIER","RODRIGUEZ FERNANDEZ, PABLO",PAB MUNI CIUTAT CASTELLO,Castellón de la Plana/Castelló (Castellón)
2341481,GUUK GIPUZKOA BASKET,81,BALONCESTO FUENLABRADA,70,"14,19,24,24","19,15,19,17",27/10/2023 - 20:00,"LOPEZ HERRADA, ENRIQUE MIGUEL","MUNAR BAÑON, PEDRO ALEJANDRO","ADAN RODRIGUEZ, CRISTINA",ANGULAS AGUINAGA ARENA,Donostia-San Sebastián (Guipúzcoa)
2341482,RIOVERDE CLAVIJO,64,HESTIA MENORCA,55,"15,19,13,17","10,18,13,14",29/10/2023 - 12:00,"SANCHEZ GONZALEZ, SANDRA","ZAMORA RODRIGUEZ, ANTONIO MANUEL","BORREGO RODRIGUEZ, JAVIER",Palacio de los Deportes de La Rioja,Logroño (La Rioja)
2341483,MOVISTAR ESTUDIANTES,93,HLA ALICANTE,75,"24,29,32,8","21,21,21,12",29/10/2023 - 18:30,"ALBACETE CHAMON, ANGEL ANTONIO","GOMEZ LUQUE, JAIME","IBAÑEZ GARCIA, FERNANDO",1030-1030-1030-WIZINK CENTER,Madrid (Madrid)
2341484,CLUB OURENSE BALONCESTO,73,CACERES PATRIMONIO DE LA HUMANIDAD,61,"15,22,22,14","6,14,13,28",27/10/2023 - 21:00,"FRANQUESA VAZQUEZ, POL","GARVIN DOMINGO, RODRIGO","FANES MARGINET, JOAN",PAZO DOS DEPORTES PACO PAZ,Ourense (Ourense)
2341485,GRUPO ALEGA CANTABRIA,75,ICG FORÇA LLEIDA,63,"20,25,14,16","12,10,25,16",28/10/2023 - 19:00,"RIAL BARREIRO, JACOBO","MARTINEZ PRADA, JESUS MARCOS","ACEVEDO PERERA, SERGIO",PABELLÓN VICENTE TRUEBA,Torrelavega (Cantabria)
2341486,UEMC REAL VALLADOLID BALONCESTO,94,LEYMA CORUÑA,111,"30,23,19,22","32,26,20,33",28/10/2023 - 17:00,"DE LUCAS DE LUCAS, ANGEL","CHECA NEBOT, DANIEL","COLOMER CASTELLO, EDUARD",0-POLIDEPORTIVO PISUERGA,Valladolid (Valladolid)
