id_partido,equipo,minutos,puntos,T2 encestados,T2 totales,% T2,T3 encestados,T3 totales,% T3,TC encestados,TC totales,% TC,TL encestados,TL totales,% TL,rebotes_ofensivos,rebotes_defensivos,rebotes_totales,asistencias,recuperaciones,perdidas,tapones_favor,tapones_contra,mates,faltas_cometidas,faltas_recibidas,valoracion
2341555,UEMC REAL VALLADOLID BALONCESTO,200:00,77,18,37,48.6,6,20,30.0,24,57,42.1,23,29,79.3,7,20,27,11,8,11,2,3,3,19,25,81
2341556,MOVISTAR ESTUDIANTES,200:00,75,16,31,51.6,9,28,32.1,25,59,42.4,16,20,80.0,11,26,37,15,7,15,0,3,2,21,21,81
2341556,ICG FORÇA LLEIDA,200:00,72,20,34,58.8,7,29,24.1,27,63,42.9,11,17,64.7,6,17,23,18,9,10,3,0,1,21,20,72
2341557,CLUB OURENSE BALONCESTO,200:00,59,13,35,37.1,7,38,18.4,20,73,27.4,12,16,75.0,17,31,48,14,1,9,2,2,0,19,20,59
2341557,MELILLA CIUDAD DEL DEPORTE,182:01,53,15,29,51.7,4,19,21.1,19,48,39.6,11,16,68.8,5,28,33,10,7,3,1,0,2,18,16,65
2341558,ALIMERKA OVIEDO BALONCESTO,200:00,78,22,37,59.5,7,29,24.1,29,66,43.9,13,24,54.2,13,20,33,18,6,9,1,2,1,17,21,83
2341558,HESTIA MENORCA,200:00,84,19,33,57.6,12,24,50.0,31,57,54.4,10,23,43.5,8,24,32,18,4,11,2,1,1,21,17,86
2341559,GRUPO ALEGA CANTABRIA,200:00,95,28,45,62.2,11,28,39.3,39,73,53.4,6,7,85.7,11,24,35,20,13,9,0,0,0,18,12,113
2341559,CACERES PATRIMONIO DE LA HUMANIDAD,200:00,75,21,38,55.3,8,21,38.1,29,59,49.2,9,14,64.3,9,19,28,15,7,16,0,0,2,12,18,80
2341560,HLA ALICANTE,200:00,83,19,40,47.5,8,21,38.1,27,61,44.3,21,28,75.0,14,22,36,12,9,15,3,3,3,18,27,96
2341560,ALIMERKA OVIEDO BALONCESTO,200:00,73,15,30,50.0,12,32,37.5,27,62,43.5,7,9,77.8,9,17,26,16,7,18,3,3,1,27,18,61
2341561,HESTIA MENORCA,200:00,77,16,33,48.5,8,24,33.3,24,57,42.1,21,24,87.5,11,19,30,9,8,16,4,2,4,22,21,75
2341561,GRUPO URETA TIZONA BURGOS,200:00,78,23,45,51.1,6,19,31.6,29,64,45.3,14,16,87.5,11,20,31,4,10,13,2,4,3,21,21,75
2341562,LONGEVIDA SAN PABLO BURGOS,200:00,105,28,43,65.1,12,28,42.9,40,71,56.3,13,17,76.5,9,37,46,25,11,11,2,1,0,19,19,143
2341562,CLUB OURENSE BALONCESTO,200:00,55,12,38,31.6,7,22,31.8,19,60,31.7,10,14,71.4,6,20,26,7,3,17,1,2,0,19,19,30
